stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
sft,1,2,5000,56608,5000,1.7598,1.7598,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,5050,56608,5050,1.8317,1.8317,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,5100,56608,5100,1.3014,1.3014,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,5150,56608,5150,1.484,1.484,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5200,56608,5200,2.0605,2.0605,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5250,56608,5250,1.917,1.917,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5300,56608,5300,1.665,1.665,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5350,56608,5350,2.2042,2.2042,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5400,56608,5400,1.5677,1.5677,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5450,56608,5450,1.6794,1.6794,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5500,56608,5500,1.9519,1.9519,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5550,56608,5550,1.9137,1.9137,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5600,56608,5600,1.8536,1.8536,0.0,9.95e-06,experiments/logs/full_sft_mini.log
sft,1,2,5650,56608,5650,1.8233,1.8233,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,5700,56608,5700,2.0049,2.0049,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,5750,56608,5750,1.3997,1.3997,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,5800,56608,5800,1.7918,1.7918,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,5850,56608,5850,1.4511,1.4511,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,5900,56608,5900,2.0572,2.0572,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,5950,56608,5950,1.0157,1.0157,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,6000,56608,6000,1.9368,1.9368,0.0,9.94e-06,experiments/logs/full_sft_mini.log
sft,1,2,6050,56608,6050,1.5588,1.5588,0.0,9.94e-06,experiments/logs/full_sft_mini.log
