stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
pretrain,1,2,4500,39695,4500,2.9513,2.9513,0.0,0.00049644,experiments/logs/pretrain_mini.log
pretrain,1,2,4550,39695,4550,2.9186,2.9186,0.0,0.00049636,experiments/logs/pretrain_mini.log
pretrain,1,2,4600,39695,4600,2.5318,2.5318,0.0,0.00049628,experiments/logs/pretrain_mini.log
pretrain,1,2,4650,39695,4650,2.5554,2.5554,0.0,0.0004962,experiments/logs/pretrain_mini.log
pretrain,1,2,4700,39695,4700,3.0641,3.0641,0.0,0.00049612,experiments/logs/pretrain_mini.log
pretrain,1,2,4750,39695,4750,2.8656,2.8656,0.0,0.00049604,experiments/logs/pretrain_mini.log
pretrain,1,2,4800,39695,4800,2.9579,2.9579,0.0,0.00049595,experiments/logs/pretrain_mini.log
pretrain,1,2,4850,39695,4850,3.3383,3.3383,0.0,0.00049587,experiments/logs/pretrain_mini.log
pretrain,1,2,4900,39695,4900,2.7931,2.7931,0.0,0.00049578,experiments/logs/pretrain_mini.log
pretrain,1,2,4950,39695,4950,2.8799,2.8799,0.0,0.0004957,experiments/logs/pretrain_mini.log
pretrain,1,2,5000,39695,5000,2.8881,2.8881,0.0,0.00049561,experiments/logs/pretrain_mini.log
pretrain,1,2,5050,39695,5050,2.5602,2.5602,0.0,0.00049552,experiments/logs/pretrain_mini.log
pretrain,1,2,5100,39695,5100,3.2879,3.2879,0.0,0.00049543,experiments/logs/pretrain_mini.log
pretrain,1,2,5150,39695,5150,2.7929,2.7929,0.0,0.00049534,experiments/logs/pretrain_mini.log
pretrain,1,2,5200,39695,5200,2.7631,2.7631,0.0,0.00049525,experiments/logs/pretrain_mini.log
pretrain,1,2,5250,39695,5250,2.5508,2.5508,0.0,0.00049516,experiments/logs/pretrain_mini.log
pretrain,1,2,5300,39695,5300,2.3977,2.3977,0.0,0.00049507,experiments/logs/pretrain_mini.log
pretrain,1,2,5350,39695,5350,2.8208,2.8208,0.0,0.00049498,experiments/logs/pretrain_mini.log
pretrain,1,2,5400,39695,5400,2.9042,2.9042,0.0,0.00049488,experiments/logs/pretrain_mini.log
pretrain,1,2,5450,39695,5450,3.05,3.05,0.0,0.00049479,experiments/logs/pretrain_mini.log
pretrain,1,2,5500,39695,5500,2.6727,2.6727,0.0,0.00049469,experiments/logs/pretrain_mini.log
pretrain,1,2,5550,39695,5550,2.4822,2.4822,0.0,0.0004946,experiments/logs/pretrain_mini.log
pretrain,1,2,5600,39695,5600,2.6297,2.6297,0.0,0.0004945,experiments/logs/pretrain_mini.log
pretrain,1,2,5650,39695,5650,2.4076,2.4076,0.0,0.0004944,experiments/logs/pretrain_mini.log
pretrain,1,2,5700,39695,5700,2.9437,2.9437,0.0,0.0004943,experiments/logs/pretrain_mini.log
pretrain,1,2,5750,39695,5750,3.1292,3.1292,0.0,0.0004942,experiments/logs/pretrain_mini.log
pretrain,1,2,5800,39695,5800,2.7844,2.7844,0.0,0.0004941,experiments/logs/pretrain_mini.log
pretrain,1,2,5850,39695,5850,2.2615,2.2615,0.0,0.000494,experiments/logs/pretrain_mini.log
pretrain,1,2,5900,39695,5900,2.6333,2.6333,0.0,0.0004939,experiments/logs/pretrain_mini.log
pretrain,1,2,5950,39695,5950,2.746,2.746,0.0,0.00049379,experiments/logs/pretrain_mini.log
pretrain,1,2,6000,39695,6000,2.6288,2.6288,0.0,0.00049369,experiments/logs/pretrain_mini.log
pretrain,1,2,6050,39695,6050,2.6521,2.6521,0.0,0.00049358,experiments/logs/pretrain_mini.log
pretrain,1,2,6100,39695,6100,2.9183,2.9183,0.0,0.00049348,experiments/logs/pretrain_mini.log
pretrain,1,2,6150,39695,6150,2.4413,2.4413,0.0,0.00049337,experiments/logs/pretrain_mini.log
pretrain,1,2,6200,39695,6200,2.5234,2.5234,0.0,0.00049326,experiments/logs/pretrain_mini.log
pretrain,1,2,6250,39695,6250,3.1456,3.1456,0.0,0.00049315,experiments/logs/pretrain_mini.log
pretrain,1,2,6300,39695,6300,2.3398,2.3398,0.0,0.00049304,experiments/logs/pretrain_mini.log
